Floss Number,Color Name,Status,Quantity
150,Dusty Rose Ult Vy Dk,Have,1
151,Dusty Rose Vry Lt,Have,1
152,Shell Pink Med Light,Have,1
153,Violet Very Light,Have,1
154,Grape Very Dark,Have,1
155,Blue Violet Med Dark,Have,1
156,Blue Violet Med Lt,Have,1
157,Cornflower Blue Vy Lt,Have,1
158,Cornflower Blu M V D,Have,1
159,Blue Gray Light,Have,1
160,Blue Gray Medium,Have,1
161,Blue Gray,Have,1
162,Blue Ultra Very Light,Have,1
163,Celadon Green Md,Have,1
164,Forest Green Lt,Have,1
165,Moss Green Vy Lt,Have,1
166,Moss Green Md Lt,Have,1
167,Yellow Beige V Dk,Have,1
168,Pewter Very Light,Have,1
169,Pewter Light,Have,2
208,Lavender Very Dark,Have,1
209,Lavender Dark,Have,1
210,Lavender Medium,Have,4
211,Lavender Light,Have,2
221,Shell Pink Vy Dk,Have,2
223,Shell Pink Light,Have,1
224,Shell Pink Very Light,Have,1
225,Shell Pink Ult Vy Lt,Have,2
300,Mahogany Vy Dk,Have,1
301,Mahogany Med,Have,1
304,Red Medium,Have,1
307,Lemon,Have,1
309,Rose Dark,Have,1
310,Black,Have,4
311,Wedgewood Ult VyDk,Have,2
312,Baby Blue Very Dark,Have,1
315,Antique Mauve Md Dk,Have,3
316,Antique Mauve Med,Have,1
317,Pewter Gray,Have,1
318,Steel Gray Lt,Have,3
319,Pistachio Grn Vy Dk,Have,4
320,Pistachio Green Med,Have,3
321,Red,Have,2
322,Baby Blue Dark,Have,2
326,Rose Very Dark,Have,2
327,Violet Dark,Have,1
333,Blue Violet Very Dark,Have,1
334,Baby Blue Medium,Have,1
335,Rose,Have,1
336,Navy Blue,Have,1
340,Blue Violet Medium,Have,2
341,Blue Violet Light,Have,2
347,Salmon Very Dark,Have,2
349,Coral Dark,Have,1
350,Coral Medium,Have,1
351,Coral,Have,1
352,Coral Light,Have,1
353,Peach,Have,1
355,Terra Cotta Dark,Have,1
356,Terra Cotta Med,Have,1
367,Pistachio Green Dk,Have,1
368,Pistachio Green Lt,Have,1
369,Pistachio Green Vy Lt,Have,2
370,Mustard Medium,Have,1
371,Mustard,Have,1
372,Mustard Lt,Have,1
400,Mahogany Dark,Have,1
402,Mahogany Vy Lt,Have,1
407,Desert Sand Med,Have,1
413,Pewter Gray Dark,Have,3
414,Steel Gray Dk,Have,1
415,Pearl Gray,Have,2
420,Hazelnut Brown Dk,Have,2
422,Hazelnut Brown Lt,Have,1
433,Brown Med,Have,1
434,Brown Light,Have,1
435,Brown Very Light,Have,1
436,Tan,Have,2
437,Tan Light,Have,1
444,Lemon Dark,Have,1
445,Lemon Light,Have,2
451,Shell Gray Dark,Have,2
452,Shell Gray Med,Have,2
453,Shell Gray Light,Have,3
469,Avocado Green,Have,2
470,Avocado Grn Lt,Have,5
471,Avocado Grn V Lt,Have,1
472,Avocado Grn U Lt,Have,1
498,Red Dark,Have,1
500,Blue Green Vy Dk,Have,2
501,Blue Green Dark,Have,2
502,Blue Green,Have,3
503,Blue Green Med,Have,3
504,Blue Green Vy Lt,Have,1
505,Jade Green,Have,1
517,Wedgewood Dark,Have,1
518,Wedgewood Light,Have,2
519,Sky Blue,Have,1
520,Fern Green Dark,Have,1
522,Fern Green,Have,1
523,Fern Green Lt,Have,1
524,Fern Green Vy Lt,Have,1
535,Ash Gray Vy Lt,Have,1
543,Beige Brown Ult Vy Lt,Have,1
550,Violet Very Dark,Have,1
552,Violet  Medium,Have,1
553,Violet,Have,2
554,Violet Light,Have,1
561,Celadon Green VD,Have,2
562,Jade Medium,Have,1
563,Jade Light,Have,1
564,Jade Very Light,Have,1
580,Moss Green Dk,Have,1
581,Moss Green,Have,1
597,Turquoise,Have,1
598,Turquoise Light,Have,1
600,Cranberry Very Dark,Have,1
601,Cranberry Dark,Have,1
602,Cranberry Medium,Have,1
603,Cranberry,Have,2
604,Cranberry Light,Have,1
605,Cranberry Very Light,Have,1
606,Orange Red Bright,Have,1
608,Burnt Orange Bright,Have,1
610,Drab Brown Dk,Have,2
611,Drab Brown,Have,1
612,Drab Brown Lt,Have,1
613,Drab Brown V Lt,Have,1
632,Desert Sand Ult Vy Dk,Have,1
640,Beige Gray Vy Dk,Have,1
642,Beige Gray Dark,Have,2
644,Beige Gray Med,Have,1
645,Beaver Gray Vy Dk,Have,2
646,Beaver Gray Dk,Have,2
647,Beaver Gray Med,Have,1
648,Beaver Gray Lt,Have,1
666,Bright Red,Have,2
676,Old Gold Lt,Have,3
677,Old Gold Vy Lt,Have,3
680,Old Gold Dark,Have,2
699,Green,Have,1
700,Green Bright,Have,1
701,Green Light,Have,1
702,Kelly Green,Have,2
703,Chartreuse,Have,2
704,Chartreuse Bright,Have,1
